|0000|006|0|01072012|31072012|FORTCOLOR TINTAS E VERNIZES LTDA|41334079000255||CE|069045038|2304400||000000000|B|1|
|0001|0|
|0005|FORTALEZA TINTAS|60150162|AVENIDA SANTOS DUMONT 3715||3715|ALDEOTA|08532059880|00000000085|vendasaldeota@fortalezatintas.com.br|
|0100|MANOEL ODERNO DO NASCIMENTO|06076947349|CE006178|41334079000255|60810000|AV. ROGACIANO LEITE 250 BL B APTO 2401||3715|SALINAS|08532059880|00000000085|contabilidade@fortcolor.com.br|2304400|
|0150|1|FORTCOLOR TINTAS E VERNIZES LTDA|01058|41334079000174||068969295|2304400||AV. FRANCISCO SA, 4581|||ALVARO WEYNE|
|0150|59980|A.L. CARVALHO PINTURA - ME|01058|13644774000105|||2304400||AV SENADOR FERNANDES TAVORA 2001|||HERIQUE JORGE|
|0150|64483|JUREMA MAGALHAES QUEIROZ|01058||44094124349||2304400||RUA VICENTE LEITE 1392 APT301 EDIFICIO BONINE|||ALDEOTA|
|0150|19254|DPD ESPACO APOIO E BUFFET LTDA|01058|03825111000125|||2304400||RUA JOSE BENIGNO SOARES 343 - ED.QUEIROZ 343||||
|0150|39906|MARCIANO GIRAO DA SILVA|01058||22220860353||2304400||RUA JOAQUIM NABUCO N.825 AP.301 N.825 AP.301|||ALDEOTA|
|0150|63477|ANA CLAUDIA GARCEZ MACHADO|01058||64245195304||2304400||RUA GLAURA ARRUDA ALCANTARA N.101 CASA 900|||DUNAS|
|0150|40864|MARIA CASTRO AMOREIRA|01058||20889518300||2304400||RUA PEREIRA DE MIRANDA, 1791 1791|||ALDEOTA|
|0150|43772|MARIA SALETE FERREIRA|01058||14388073334||2304400||RUA JOSE VILAR 1320|||ALDEOTA|
|0150|3|FORTCOLOR TINTAS E VERNIZES LTDA|01058|41334079000336||060105160|2304400||RUA SENADOR POMPEU, 1441/45|||CENTRO|
|0150|64396|MARINA QUINDERE CIDRAO|01058||61359564349||2304400||RUA DALVA RODRIGUES N.150 CASA 10|||DUNAS|
|0150|2194|APIGUANA MAQUINAS E MOTORES LTDA|01058|07240450000281||066676622|2304400||AV.SANTOS DUMONT,3993 LOJAS 7-8 ALDEOTA||||
|0150|7|FORTCOLOR TINTAS E VERNIZES LTDA|01058|41334079000760||065695089|2304400||AVENIDA FRANCISCO SÁ, 3190 GALPAO H 3190|||CARLITO PAMPLONA|
|0150|64616|JOSE RENATO SANTOS LOPES|01058||89249879334||2304400||RUA ISAC MEYER, 115  LOJA|||ALDEOTA|
|0150|59004|DEBORAH SALES BELCHIOR|01058||44190298387||2304400||R.ANTONELE BEZERRA 66 AP 1500|||MEIRELES|
|0150|45538|MILENIO EMPREENDIMENTOS IMOBILIARIOS LTDA|01058|04284488000187|||2304400||AV.SANTOS DUMONT, 3131/ SL1014|||ALDEOTA|
|0150|16473|CONDOMINIO FECHADO VENEZA III|01058|74189887000144|||2304400||AV BEIRA MAR 1770|||MEIRELES|
|0150|29011|IDEAL CLUBE|01058|07260946000136||061036897|2304400||AV MONSENHOR TABOSA 1381|||IRACEMA|
|0150|2610|CMM ENGENHARIA LTDA.|01058|06864946000182||068423306|2304400||AV.DOM LUIZ,880 SL 606||3266.1106|ALDEOTA|
|0150|64482|ALEXANDRE AGUIAR GURGEL|01058||36845566372||2304400||RUA DR.ZAMENHOF N.400 APT.201|||COCO|
|0150|63173|A.E. ARCOVERDE ALEXANDRE DE SOUZA|01058|13172495000188|||2304400||RUA PEREIRA DE MIRANDA, 1913|||PAPICU|
|0150|45934|MONTE CARLO COMERCIO DE ALIMENTOS LTDA|01058|02227034000149||069954712|2304400||AVENIDA SENADOR VIRGILIO TAVORA,820||Sheila (FIN)|ALDEOTA|
|0150|63393|CONDOMINIO EDIFICIO TORONTO|01058|08570612000121|||2304400||RUA LEONARDO MOTA N.2000|||ALDEOTA|
